,folioviv,foliohog,tot_integ,edad_jefe,jefe_es_hombre,alimentos,gasto_mon,transporte,ing_cor,jefe_termino_sec,tiene_auto,tasa_ahorro
85185,3103706805,1,3,53,1,12342.73,22224.33,6683.6,36610.81,1,1,0.393
85189,3103714010,1,5,50,1,8241.29,49411.72,27652.87,132360.25,1,1,0.627
85191,3103714018,1,4,43,1,13499.83,35598.08,13389.17,55185.03,1,1,0.355
85194,3103714211,1,5,38,1,17594.74,28359.66,3119.78,37492.37,1,1,0.244
85197,3103714301,1,6,56,0,27231.16,36390.72,1780.64,26172.25,1,1,-0.39
85201,3103714317,1,5,24,0,19028.37,44167.46,11451.28,52225.68,1,1,0.154
85206,3103714716,1,4,29,1,10992.73,23076.73,6570.0,29874.92,1,1,0.228
85209,3103727401,1,4,34,1,6980.07,41912.4,12364.71,138928.58,1,1,0.698
85210,3103727404,1,6,45,1,7919.92,15570.83,3241.93,22026.62,1,1,0.293
85212,3103734001,1,5,37,0,19812.47,40562.74,9096.76,49335.88,1,1,0.178
85213,3103734004,1,4,39,1,3381.4,44018.59,11245.15,117040.99,1,1,0.624
85214,3103734005,1,4,34,0,12361.96,36998.19,7112.9,42033.65,1,1,0.12
85218,3103764906,1,4,72,1,28439.66,48682.81,7652.35,60066.72,0,1,0.19
85220,3103843303,1,3,61,0,11896.62,22319.07,3912.09,45992.03,1,1,0.515
85233,3103868604,1,1,56,1,7835.69,29902.19,12801.63,47851.89,1,1,0.375
85234,3103868608,1,3,30,1,11378.51,19809.49,3750.0,24000.26,1,1,0.175
85235,3103868616,1,5,39,1,14033.34,43233.92,11753.11,77911.92,1,1,0.445
85236,3103868620,1,9,68,1,25013.2,41472.7,6750.0,78256.39,1,1,0.47
85237,3103868624,1,4,45,1,13810.93,27123.2,1800.0,30637.86,1,1,0.115
85248,3103883206,1,2,67,1,4654.12,8991.28,1451.6,15315.24,1,1,0.413
85266,3103993316,1,4,42,1,6827.0,15919.9,4954.83,8493.8,1,1,-0.874
85276,3103993805,1,3,84,1,1748.55,4657.05,600.0,25758.45,1,1,0.819
85287,3104009411,1,2,50,1,10786.97,23091.54,1972.61,36327.34,1,1,0.364
85303,3104009908,1,4,36,1,11262.67,18578.01,2809.86,13568.72,1,1,-0.369
85311,3104022013,1,7,25,1,10131.25,26956.78,10244.19,62308.51,1,1,0.567
85314,3104022202,1,3,43,1,9160.55,25889.05,3473.2,60444.73,1,1,0.572
85323,3104022703,1,5,39,1,11744.81,28075.65,1825.77,62745.69,1,1,0.553
85325,3104022711,1,4,45,1,12522.72,61734.57,10140.0,18587.21,1,1,-2.321
85331,3104064017,1,4,36,1,19222.4,31928.91,6696.77,92272.52,1,1,0.654
85334,3104064206,1,5,51,1,22011.11,35620.63,1771.19,60653.45,1,1,0.413
85337,3104064218,1,3,34,1,16122.64,24900.57,2449.38,22053.51,1,1,-0.129
85345,3104064711,1,5,48,1,17050.9,26326.13,4077.53,53937.47,1,1,0.512
